Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Atelerix,https://www.crunchbase.com/organization/atelerix,"Biotechnology, Health Care, Medical","Newcastle, Newcastle upon Tyne, United Kingdom",Atelerix provides storage and transportation of human cells at room temperature to companies.,mick.mclean@atelerix.co.uk,,https://www.atelerix.co.uk/,For Profit,1,Seed,"£350,000",2018-04-30,Seed,"£350,000","Biotechnology, Health Care, Science and Engineering",Private
Zymochem,https://www.crunchbase.com/organization/zymochem,"Biotechnology, Chemical, Industrial","Emeryville, California, United States",Zymochem develop microbes & bioprocesses that enable profitable & eco-friendly production of chemicals from renewable sources such as sugar.,info@zymochem.com,,http://www.zymochem.com,For Profit,2,Seed,"$350,000",2016-10-11,Seed,"$350,000","Biotechnology, Science and Engineering",Private
BEAT BioTherapeutics,https://www.crunchbase.com/organization/beat-biotherapeutics,Biotechnology,"Bellevue, Washington, United States",BEAT BioTherapeutics develops novel therapies for heart diseases.,mkranda@beatbiotherapeutics.com,2065430586,http://beatbiotherapeutics.com,,1,Seed,"$2,500,000",2013-04-16,Seed,"$2,500,000","Biotechnology, Science and Engineering",Private
GenCell Biosystems,https://www.crunchbase.com/organization/gencell-biosystems,"Biotechnology, Clinical Trials, Genetics, Health Care","Limerick, Limerick, Ireland",GenCell Biosystems is a biological testing tool manufacturer and provider.,info@gencellbio.com,+353 61 307 734,http://www.gencellbio.com,For Profit,1,M&A,"€2,700,000",2014-01-27,Seed,"€2,700,000","Biotechnology, Health Care, Science and Engineering",Private
Kinnos Inc.,https://www.crunchbase.com/organization/kinnos-inc,"Biotechnology, Health Care","Brooklyn, New York, United States",Raising the standard of infectious disease decontamination.,team@kinnos.us,,https://www.kinnos.us,For Profit,2,Seed,"$1,000,000",2017-02-27,Seed,"$1,750,000","Biotechnology, Health Care, Science and Engineering",Private
Venneos GmbH,https://www.crunchbase.com/organization/venneos,"Biotechnology, Electronics, Life Science","Stuttgart, Baden-Wurttemberg, Germany","Venneos develops and markets the ‘CAN-Q‘, a silicon-chip-based imaging system for the label-free analysis of biological cells",,,http://www.venneos.com/,For Profit,1,Seed,"€1,000,000",2015-09-11,Seed,"€1,000,000","Biotechnology, Consumer Electronics, Hardware, Science and Engineering",Private
BioNex Solutions,https://www.crunchbase.com/organization/bionex-solutions,"Biopharma, Biotechnology, Health Care","Sunnyvale, California, United States","BioNex Solutions develops advanced laboratory automation systems for applications in biopharmaceutical, biotech and academic research.",info@bionexsolutions.com,408-855-8863,http://bionexsolutions.com,,2,Seed,"$960,000",2012-05-01,Seed,"$1,964,996","Biotechnology, Health Care, Science and Engineering",Private
Intellimedix,https://www.crunchbase.com/organization/intellimedix,"Biotechnology, Health Care, Health Diagnostics","Atlanta, Georgia, United States",Intellimedix develops innovative approaches to accelerate the discovery and development of new treatments for known human diseases.,contact@intellimedix.com,(770) 399-9930,http://intellimedix.com/,For Profit,1,Seed,"$2,300,000",2015-02-23,Seed,"$2,300,000","Biotechnology, Health Care, Science and Engineering",Private
BioInspire Technologies,https://www.crunchbase.com/organization/bioinspire-technologies,"Biotechnology, Health Care, Medical Device","Palo Alto, California, United States",BioInspire Technologies is dedicated to the research and development of interventional medical devices.,info@BioInspireTechnologies.com,707-239-5707,http://bioinspiretechnologies.com,,1,Seed,"$3,124,082",2011-10-05,Seed,"$3,124,082","Biotechnology, Health Care, Science and Engineering",Private
Biorelate,https://www.crunchbase.com/organization/biorelate,"Artificial Intelligence, Big Data, Biotechnology, Life Science, Medical","Oldham, Oldham, United Kingdom",Biorelate is a venture-backed AI start-up with a mission to curate truths in biomedicine.,info@biorelate.com,,http://biorelate.com/,For Profit,1,Seed,"£100,000",2016-03-03,Seed,"£100,000","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Treventis,https://www.crunchbase.com/organization/treventis,"Biotechnology, Health Diagnostics","Bryn Mawr, Pennsylvania, United States","Treventis discovers and develops drugs and diagnostics for diseases associated with protein misfolding, such as Alzheimer's and Parkinson's.",wmcintosh@treventis.com,6104886082,http://treventis.com,,3,Seed,"$4,400,000",2013-09-19,Seed,"$4,400,000","Biotechnology, Health Care, Science and Engineering",Private
Stimunity ,https://www.crunchbase.com/organization/stimunity,Biotechnology,"Paris, Ile-de-France, France","A Paris, France-based immuno-oncology company.",contact@stimunity.com,,https://stimunity.com/,,1,Seed,"€2,000,000",2018-03-01,Seed,"€2,000,000","Biotechnology, Science and Engineering",Private
Mursla,https://www.crunchbase.com/organization/mursla,"Biotechnology, Information Technology, Internet of Things, Medical Device","Cambridge, Cambridgeshire, United Kingdom",Lab-on-a-chip proteomic & exosome cancer diagnostics company for portable liquid biopsy. Leveraging upon nanostructures for quantum biology.,contact@mursla.com,,http://mursla.com,For Profit,1,Seed,"$900,000",2017-07-01,Seed,"$900,000","Biotechnology, Health Care, Information Technology, Internet Services, Science and Engineering",Private
Cerus Endovascular,https://www.crunchbase.com/organization/cerus-endovascular,Biotechnology,"Oxford, Oxfordshire, United Kingdom",Cerus Endovascular designs and develops interventional neuroradiology devices and delivery systems.,info@cerusendo.com,,http://www.cerusendo.com,,1,Seed,"£1,500,000",2013-06-06,Seed,"£1,500,000","Biotechnology, Science and Engineering",Private
Nano Tech Projects SRL,https://www.crunchbase.com/organization/nano-tech-projects-srl,"Biotechnology, Nanotechnology, Product Research",,"Nano Tech Projects researches and develops activities, realizes products, solutions and services in the biotechnology sector.",info@ntpsrl.biz,+39 0722 88681,http://www.ntpsrl.biz/,For Profit,2,Seed,"€600,000",2018-05-30,Seed,"€650,000","Biotechnology, Data and Analytics, Design, Science and Engineering",Private
Rev Genomics,https://www.crunchbase.com/organization/rev-genomics,"Agriculture, Big Data, Biotechnology","San Francisco, California, United States",Rev Genomics is a big data company operating in the plant biotechnology space.,,,https://www.revgenomics.com/,For Profit,1,Seed,"$120,000",2017-08-21,Seed,"$120,000","Agriculture and Farming, Biotechnology, Data and Analytics, Science and Engineering",Private
Invizius,https://www.crunchbase.com/organization/invizius,"Biotechnology, Medical","Edinburgh, Edinburgh, City of, United Kingdom","Invizius is developing treatments to help hemodialysis patients live longer, feel better, and suffer fewer cardiovascular complications.",,,https://www.invizius.com/,,2,Seed,"£500,000",2018-05-02,Seed,"£1,100,000","Biotechnology, Health Care, Science and Engineering",Private
Quantitative Medicine,https://www.crunchbase.com/organization/quantitative-medicine,"Biotechnology, Machine Learning, Pharmaceutical, Predictive Analytics","Vero Beach, Florida, United States","Quantitative Medicine is a medical platform that is used to construct, assess, validate, and deploy drug models.",sales@qtmed.com,(772)410-3135,http://www.qtmed.com,For Profit,2,Seed,"$238,000",2014-08-28,Seed,"$563,000","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
EcoWorth Tech,https://www.crunchbase.com/organization/ecoworth-tech,Biotechnology,"Singapore, Central Region, Singapore",A Singapore-based startup that has developed a technology for the sustainable treatment of wastewater.,,,https://www.ecoworth-tech.com/,,1,Seed,"SGD1,000,000",2017-12-11,Seed,"SGD1,000,000","Biotechnology, Science and Engineering",Private
OncoHealth,https://www.crunchbase.com/organization/oncohealth,Biotechnology,"San Jose, California, United States",OncoHealth develops proprietary screening and diagnostic tests for cervical cancer and other cancers associated with human papillomavirus.,Info@OncoHealthcorp.com,650-369-6303,http://oncohealthcorp.com,,3,Seed,"$600,000",2012-07-01,Seed,"$3,450,000","Biotechnology, Science and Engineering",Private
Novome Biotechnologies,https://www.crunchbase.com/organization/novome-biotechnologies,Biotechnology,"Daly City, California, United States","Novome Biotechnologies,  operates in the technology industry.",,650-416-6863,http://novomebio.com/,,1,Seed,"$535,623",2017-01-09,Seed,"$535,623","Biotechnology, Science and Engineering",Private
3D Bio Holdings,https://www.crunchbase.com/organization/3d-bio-holdings,"Biotechnology, Health Care, Pharmaceutical","New York, New York, United States",3D Bio Holdings is a company that specializes in regenerative medicine and devices.,,(212)922-9225,http://www.3dbiocorp.com,For Profit,2,Seed,,2017-06-28,Seed,"$500,000","Biotechnology, Health Care, Science and Engineering",Private
Evident Health,https://www.crunchbase.com/organization/evident-health,"Biotechnology, Diabetes, Health Care","Oklahoma City, Oklahoma, United States",Evident Health offers diabetes care by assisting local specialists in treating patients with diabetes and associated complications.,info@evidenthealth.com,888-990-4279 ,http://evidenthealth.com,,1,Seed,"$100,000",2012-09-27,Seed,"$100,000","Biotechnology, Health Care, Science and Engineering",Private
Spartan Bioscience,https://www.crunchbase.com/organization/spartan-bioscience,"Biotechnology, Life Science, Manufacturing","Ottawa, Ontario, Canada",Spartan Bioscience designs and manufactures sample-to-result DNA testing systems.,info@spartanbio.com,613-228-7756,http://www.spartanbio.com,,2,Seed,"$110,000",2012-05-16,Seed,"$260,000","Biotechnology, Manufacturing, Science and Engineering",Private
MD Synergy Solutions,https://www.crunchbase.com/organization/md-synergy-solutions,"Biotechnology, Health Care, Pharmaceutical","Woodland Hills, California, United States","MD Synergy Solutions provides a suite of apps for healthcare professionals, physicians, patients, billing companies, IPA, REC and HIE.",info@mdsynergy.com,+81 8189143400 ext. 2507,http://www.mdsynergy.com,,2,Seed,"$800,000",2013-01-25,Seed,"$8,880,800","Biotechnology, Health Care, Science and Engineering",Private
Remedy Plan,https://www.crunchbase.com/organization/remedy-plan,"Biotechnology, Health Diagnostics, Medical, Therapeutics","Washington, District of Columbia, United States","Developing Cancer Containment Therapy, a non-toxic approach to disrupting cancer spread.",greg@remedyplan.com,,https://remedyplan.com,For Profit,1,Seed,"$1,200,000",2016-01-15,Seed,"$1,200,000","Biotechnology, Health Care, Science and Engineering",Private
Ventrix,https://www.crunchbase.com/organization/ventrix-2,"Biotechnology, Health Care, Medical","Santa Rita Do Sapucaí, Minas Gerais, Brazil",Health tech company focused on telemedicine and cardio monitoring applications.,contato@ventrix.com.br,+55 (11) 2690-4531,http://www.ventrix.com.br,,1,Seed,"R$5,000,000",2015-02-10,Seed,"R$5,000,000","Biotechnology, Health Care, Science and Engineering",Private
chimeron bio,https://www.crunchbase.com/organization/chimeron-bio,"Biotechnology, Health Care, Therapeutics","New York, New York, United States",Chimeron Bio develops agents for personalized cancer gene therapy.,contact@chimeron.com,,http://chimeronbio.com,For Profit,1,Seed,"$430,000",2016-07-01,Seed,"$430,000","Biotechnology, Health Care, Science and Engineering",Private
SeqLL,https://www.crunchbase.com/organization/seqll,Biotechnology,"Woburn, Massachusetts, United States","SeqLL, LLC specializes in true single molecule sequencing (tSMS) of RNA or DNA",orders@seqll.com,(617) 431-2515,http://seqll.com/,For Profit,2,Seed,"$1,000,000",2016-02-22,Seed,"$2,000,000","Biotechnology, Science and Engineering",Private
BDi Biotechnology Group,https://www.crunchbase.com/organization/bdi-biotechnology-group,"Biotechnology, Health Care, Medical","Spain, Georgia, United States",BDi Biotechnology Group Specialized in contract research management services.,info@bdibiotech.com,(+34) 983 54 85 63,http://www.bdibiotech.com/,For Profit,1,Seed,"€3,900,000",2018-01-04,Seed,"€3,900,000","Biotechnology, Health Care, Science and Engineering",Private
SAGA Diagnostics ,https://www.crunchbase.com/organization/saga-diagnostics-ab,"Biotechnology, Genetics, Medical","Lund, Skane Lan, Sweden",SAGA Diagnostics is a personalized cancer genomics and disease monitoring company.,info@sagadiagnostics.com,46 070 888 5261,http://sagadiagnostics.com/,,2,Seed,"€1,000,000",2018-03-15,Seed,"€1,050,000","Biotechnology, Health Care, Science and Engineering",Private
Tradewind BioScience,https://www.crunchbase.com/organization/tradewind-bioscience,"Biotechnology, Health Care, Medical","South San Francisco, California, United States",Tradewind BioScience is a biotechnology company developing antibody therapeutics for ovarian cancer.,,(415) 317-4818,https://tradewindbio.com/,For Profit,1,Seed,"$120,000",2018-01-04,Seed,"$120,000","Biotechnology, Health Care, Science and Engineering",Private
MOLECUBES,https://www.crunchbase.com/organization/molecubes,"Biotechnology, Hardware, Medical, Software","Gent, Oost-Vlaanderen, Belgium","We build preclinical imaging cubes allowing you to combine SPECT, PET and CT imaging in almost any lab space.",info@molecubes.com,+32092777728,http://molecubes.com/,For Profit,1,Seed,"€1,900,000",2016-01-07,Seed,"€1,900,000","Biotechnology, Hardware, Health Care, Science and Engineering, Software",Private
Macromoltek Inc,https://www.crunchbase.com/organization/macromoltek-inc,"Biopharma, Biotechnology","Austin, Texas, United States","Macromoltek does computational drug discovery for pharma companies, focusing on antibodies for therapeutics and diagnostics. ",,,https://www.macromoltek.com/,,1,Seed,"$120,000",2018-01-04,Seed,"$120,000","Biotechnology, Health Care, Science and Engineering",Private
Nanopore Diagnostics,https://www.crunchbase.com/organization/nanopore-diagnostics,"Biotechnology, Health Diagnostics, Medical","St Louis, Missouri, United States",Developing a rapid bacterial diagnostic test to ensure physicians know exactly what they are treating before making an antibiotic decision,info@nanoporedx.com,15105952002,http://www.nanoporedx.com,,1,Seed,"$600,000",2016-01-20,Seed,"$600,000","Biotechnology, Health Care, Science and Engineering",Private
Halo Labs,https://www.crunchbase.com/organization/optofluidics,"Biotechnology, Health Diagnostics, Pharmaceutical","Philadelphia, Pennsylvania, United States",Halo Labs is a venture backed scientific instrumentation company that commercializes high throughput biopharmaceutical quality control tools,info@halolabs.com,(215)253-5823,https://halolabs.com/,For Profit,6,Seed,"$75,000",2015-05-06,Seed,"$875,000","Biotechnology, Health Care, Science and Engineering",Private
NextStep Robotics,https://www.crunchbase.com/organization/nextstep-robotics,Biotechnology,"Baltimore, Maryland, United States",NextStep Robotics is  developing the first effective treatment option for foot drop to help stroke survivors.,info@nextsteprobo.com,,https://nextsteprobo.com/,,1,Seed,"$750,000",2018-02-06,Seed,"$750,000","Biotechnology, Science and Engineering",Private
Neoprospecta Microbiome Technologies,https://www.crunchbase.com/organization/neoprospecta,"Analytics, Biotechnology, Genetics","Florianópolis, Santa Catarina, Brazil",Neoprospecta has as its main goal the development of solutions for large scale microorganism molecular analysis and diagnosis.,felipe@neoprospecta.com,+5548991067516,http://neoprospecta.com,For Profit,2,Seed,"R$4,000,000",2014-08-18,Seed,"R$4,500,000","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
MedStartr,https://www.crunchbase.com/organization/medstartr,"Automotive, Biotechnology, Crowdfunding, Finance, Health Care, Incubators, Venture Capital","New York, New York, United States",MedStartr is a crowdfunding platform designed for the healthcare industry.,info@medstartr.com,5306337827,http://www.medstartr.com,,1,Seed,"$50,000",2012-08-28,Seed,"$50,000","Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering, Transportation",Private
semiosBIO Technologies,https://www.crunchbase.com/organization/semiosbio-technologies,"Agriculture, Biotechnology, Farming","Vancouver, British Columbia, Canada",semiosBIO Technologies discovers and develops pheromone-based pest control solutions.,mgilbert@semiosbio.com,604-202-3245,http://semiosbio.com,,3,Seed,"$8,000,000",2016-04-18,Seed,"$8,588,708","Agriculture and Farming, Biotechnology, Science and Engineering",Private
Pathogen DX,https://www.crunchbase.com/organization/pathogen-dx,"Biotechnology, Marijuana, Market Research","Scottsdale, Arizona, United States","PathogenDx has developed a microarray based test specifically designed for the cannabis, botanical, food and agricultural testing markets.",,+80064157518,http://www.pathogendx.com/,For Profit,1,Seed,"$675,000",2016-04-19,Seed,"$675,000","Biotechnology, Community and Lifestyle, Data and Analytics, Design, Food and Beverage, Health Care, Science and Engineering",Private
Novalact,https://www.crunchbase.com/organization/novalact,"Biotechnology, Dietary Supplements, Health Diagnostics","Santiago, Region Metropolitana, Chile",Probiotic based solutions for a changing world,leo@novalact.com,56979634862,http://novalact.com/,For Profit,3,Seed,"$314,000",2015-11-16,Seed,"$434,000","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
EpigenCare,https://www.crunchbase.com/organization/epigencare,"Beauty, Biotechnology, Cosmetics, Genetics, Personal Health",,Personalized Skincare,media@epigencare.com,,https://www.epigencare.com,For Profit,1,Seed,"$155,000",2018-02-01,Seed,"$155,000","Biotechnology, Consumer Goods, Health Care, Science and Engineering",Private
Sword Diagnostics,https://www.crunchbase.com/organization/sword-diagnostics,"Biotechnology, Health Diagnostics","Carmel, Indiana, United States","Sword Diagnostics is a life sciences company addressing the needs of the research, pharmaceutical, and clinical communities.",info@sworddiagnostics.com,1(800) 403-7075,http://www.sworddiagnostics.com,For Profit,7,Seed,,2017-11-11,Seed,"$5,450,802","Biotechnology, Health Care, Science and Engineering",Private
Medtrics Lab,https://www.crunchbase.com/organization/medtrics-lab,"Biotechnology, Medical, Medical Device","New York, New York, United States",Medtrics is the only Residency Management Platform built from the ground up for ACGME's Next Accreditation System.,hello@medtricslab.com,(800) 528-4718,http://medtricslab.com,For Profit,3,Seed,,2015-06-18,Seed,"$102,002","Biotechnology, Health Care, Science and Engineering",Private
Carmenta Bioscience,https://www.crunchbase.com/organization/carmenta-bioscience,Biotechnology,"Palo Alto, California, United States",Carmenta Bioscience is a technology company focused on improving maternal and fetal health.,,,http://www.carmentabio.com,,1,Seed,"$2,000,000",2013-08-07,Seed,"$2,000,000","Biotechnology, Science and Engineering",Private
Lymphact,https://www.crunchbase.com/organization/lymphact,"Biopharma, Biotechnology, Pharmaceutical","Évora, Evora, Portugal",Lymphact is a biopharmaceutical start-up focused on developing innovative personalized medical treatments.,,,http://www.lymphact.com/,For Profit,1,Seed,"€275,000",2013-05-31,Seed,"€275,000","Biotechnology, Health Care, Science and Engineering",Private
Rodos BioTarget,https://www.crunchbase.com/organization/rodos-biotarget,Biotechnology,"Hanover, Niedersachsen, Germany","Rodos BioTarget (RBT) is a biopharmaceutical company developing a targeted drug delivery platform, TargoSphere®.",info@biotargeting.eu,49 173 317 0879,http://www.biotargeting.eu,,3,Seed,,2016-07-14,Seed,"€2,600,000","Biotechnology, Science and Engineering",Private
HemoGenyx,https://www.crunchbase.com/organization/hemogenyx,"Biotechnology, Health Care, Pharmaceutical","Buffalo, New York, United States","New treatment for blood diseases, such as leukemia and lymphoma.",hemogenyx@hemogenyx.com,+1 (347) 735-8380,http://www.hemogenyx.com/,For Profit,3,Seed,"$1,000,000",2016-06-29,Seed,"$1,250,000","Biotechnology, Health Care, Science and Engineering",Private
NuVision,https://www.crunchbase.com/organization/nuvision-2,Biotechnology,"Nottingham, Nottingham, United Kingdom",NuVision™ is a biotechnology research and development spin out company from the University of Nottingham,hopkinson@nu-vision.co.uk,44 (0) 7879610023,http://www.nu-vision.co.uk/,For Profit,3,Seed,"£500,000",2018-02-08,Seed,"$1,286,828","Biotechnology, Science and Engineering",Private
Polaris Health Directions,https://www.crunchbase.com/organization/polaris-health-directions,"Biotechnology, Health Care, Medical Device","Langhorne, Pennsylvania, United States",POLARIS HEALTH DIRECTIONS develops and markets behavioral health outcomes assessment and management systems to help deliver better health,moreinfo@polarishealth.com,2675836335,http://polarishealth.com,,2,Seed,"$500,000",2016-09-28,Seed,"$1,250,000","Biotechnology, Health Care, Science and Engineering",Private
Numira Biosciences,https://www.crunchbase.com/organization/numira-biosciences,"Biopharma, Biotechnology, Life Science","Salt Lake City, Utah, United States","Numira Biosciences, Inc., a contract research organization, provides imaging services for disease research, drug discovery, and",cfernandez@numirabio.com,949-567-0920,http://www.numirabio.com,,3,Seed,,2013-03-07,Seed,"$5,782,738","Biotechnology, Health Care, Science and Engineering",Private
BeamLine Diagnostics,https://www.crunchbase.com/organization/beamline-diagnostics,"Biopharma, Biotechnology, Health Care, Life Science, Medical, Medical Device","London, England, United Kingdom",BeamLine Diagnostics has developed a diagnostic system for cancer and pre-cancer.,info@beamlinediagnostics.com,,http://www.beamlinediagnostics.com/,For Profit,3,Seed,"£650,000",2017-04-28,Seed,"£1,454,859","Biotechnology, Health Care, Science and Engineering",Private
Tevosol,https://www.crunchbase.com/organization/tevosol,"Biotechnology, Medical, Medical Device","Edmonton, Alberta, Canada",Medical device company,,(587) 318.1466,http://www.tevosol.com,For Profit,2,Seed,"CA$2,000,000",2017-06-25,Seed,"CA$4,000,000","Biotechnology, Health Care, Science and Engineering",Private
Inositec,https://www.crunchbase.com/organization/inositec,"Biotechnology, Medical, Pharmaceutical","Zürich, Zurich, Switzerland",Inositec AG is a biotech spin-off from ETH Zurich,info@inositec.com,+41442710755,http://inositec.com/,For Profit,1,Seed,"CHF1,400,000",2016-10-26,Seed,"CHF1,400,000","Biotechnology, Health Care, Science and Engineering",Private
Acumen Pharmaceuticals,https://www.crunchbase.com/organization/acumen-pharmaceuticals,"Biotechnology, Health Diagnostics","Livermore, California, United States",Acumen Pharmaceuticals is focused on discovering and developing best in class therapeutics and diagnostics for Alzheimer’s disease.,info@acumenpharm.com,6508757772,http://www.acumenpharm.com,,2,Seed,"$700,000",2013-05-15,Seed,"$2,200,000","Biotechnology, Health Care, Science and Engineering",Private
Axonia Medical,https://www.crunchbase.com/organization/axonia-medical,"Biotechnology, Health Care, Medical, Therapeutics","Kalamazoo, Michigan, United States",Axonia Medical develops technology to rebuild and restore damaged peripheral or central nervous systems from tissue-engineered nerve grafts.,info@axoniamediacal.com,(269)615-6632,http://www.axoniamedical.com,For Profit,4,Seed,"$2,000,000",2014-06-09,Seed,"$8,390,000","Biotechnology, Health Care, Science and Engineering",Private
Strekin,https://www.crunchbase.com/organization/strekin,"Biotechnology, Pharmaceutical","Basel, Basel-Stadt, Switzerland","Strekin AG is a clinical-stage biopharmaceutical company headquartered in Basel, Switzerland.",Info@strekin.Com,+41616332971,https://www.strekin.com/,For Profit,1,Seed,"CHF10,000,000",2017-06-06,Seed,"CHF10,000,000","Biotechnology, Health Care, Science and Engineering",Private
Vaccibody,https://www.crunchbase.com/organization/vaccibody,Biotechnology,"Oslo, Oslo, Norway",Vaccibody develops technology for novel vaccines and an immunotherapy against HPV-induced malignancies.,info@vaccibody.com,47 22 95 81 90,http://vaccibody.com,,2,Seed,"€733,000",2013-06-26,Seed,"€2,733,000","Biotechnology, Science and Engineering",Private
GenomeNext,https://www.crunchbase.com/organization/genomenext,"Biotechnology, Genetics","Columbus, Ohio, United States",GenomeNext delivers an automated genomic analysis solution that provides researchers and clinicians with a real-time,info@genomenext.com,,http://www.genomenext.com/,For Profit,1,Seed,"$1,200,000",2016-02-24,Seed,"$1,200,000","Biotechnology, Health Care, Science and Engineering",Private
MIODx,https://www.crunchbase.com/organization/miodx,"Biotechnology, Health Care, Medical Device","San Jose, California, United States","MIODx, a company working on biomarker diagnostics.",info@miodx.com,(866)756-4639,http://www.miodx.com,For Profit,1,Seed,"$1,500,000",2016-05-07,Seed,"$1,500,000","Biotechnology, Health Care, Science and Engineering",Private
Bloomizon,https://www.crunchbase.com/organization/bloomizon,"Biotechnology, Health Care, Information Technology, Wellness","Paris, Ile-de-France, France",Bloomizon is an algorithm and a platform that helps you to manage your health with the first tailor-made on-demand vitamins.,contact@bloomizon.com,,https://bloomizon.com,For Profit,1,Seed,"€500,000",2016-12-30,Seed,"€500,000","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
iVeena,https://www.crunchbase.com/organization/iveena,Biotechnology,"Salt Lake City, Utah, United States",iVeena develops ocular drug products that eliminate the need for eye drop application and painful injections.,,,http://iveenamed.com/,For Profit,2,Seed,"$600,000",2015-12-18,Seed,"$1,900,000","Biotechnology, Science and Engineering",Private
Omicsis,https://www.crunchbase.com/organization/omicsis,Biotechnology,"Daejeon, Taejon-jikhalsi, South Korea",Omicsis is an integrative bioscience and biotechnology venture company.,,,http://www.omicsis.co.kr/,For Profit,2,Seed,"₩200,000,000",2015-03-10,Seed,"₩500,000,000","Biotechnology, Science and Engineering",Private
Sitka Biopharma,https://www.crunchbase.com/organization/sitka-biopharma,Biotechnology,"Vancouver, British Columbia, Canada",Transforming chemotherapies to further benefit patients by enhancing efficacy and improving tolerability.,,,http://www.sitkabiopharma.com/,For Profit,1,Seed,"$2,400,000",2017-08-03,Seed,"$2,400,000","Biotechnology, Science and Engineering",Private
Chromis Therapeutics,https://www.crunchbase.com/organization/chromis-therapeutics,Biotechnology,"San Diego, California, United States","Chromis Therapeutics, Inc. (Chromis) is a San Diego-based biopharmaceutical company",vbichko@chromistherapeutics.com,,http://chromistherapeutics.com/,For Profit,2,Seed,,2016-06-06,Seed,"$3,000,000","Biotechnology, Science and Engineering",Private
SiDLY,https://www.crunchbase.com/organization/sidly,"Biotechnology, Health Care, Medical Device","Warsaw, Mazowieckie, Poland","SiDLY builds innovative telemedicine equipment for patients requiring constant medical care, both institutional and individual patients.",office@sidly.eu,+48603611915,http://www.sidly.pl/,For Profit,2,Seed,"$580,000",2017-11-08,Seed,"$580,000","Biotechnology, Health Care, Science and Engineering",Private
Harbor BioSciences,https://www.crunchbase.com/organization/harbor-biosciences,"Biotechnology, Nutraceutical","San Diego, California, United States",Harbor Therapeutics develops a proprietary class of adrenal steroid hormones as novel pharmaceuticals and nutraceuticals for human health.,ir@harbortx.com,(858)587-9333,http://harbortx.com,For Profit,1,Seed,"$2,825,000",2011-08-12,Seed,"$2,825,000","Biotechnology, Health Care, Science and Engineering",Private
Gemstone Biotherapeutics,https://www.crunchbase.com/organization/gemstone-biotherapeutics,Biotechnology,"Baltimore, Maryland, United States",Gemstone Biotherapeutics LLC is a pre-clinical research and development initiative.,info@gem-bio.com,(443) 873-7010,http://www.gemstonebio.com/,For Profit,2,Seed,"$700,000",2016-10-27,Seed,"$3,150,000","Biotechnology, Science and Engineering",Private
PureBrands,https://www.crunchbase.com/organization/purebrands,"Biotechnology, Dietary Supplements","Boca Raton, Florida, United States",PureBrands manufactures transdermal patches to deliver nutritional and dietary supplements to athletes.,Info@SheetsBrand.com,561-962-3500,http://sheetsbrand.com,,1,Seed,"$750,000",2010-12-20,Seed,"$750,000","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
Cytena,https://www.crunchbase.com/organization/cytena,"Biotechnology, Genetics, Health Care, Medical","Freiburg, Baden-Wurttemberg, Germany",Cytena develops single-cell printing technology for cell research and professional diagnostics.,info@cytena.com,+004976120373260,http://www.cytena.com/,For Profit,1,Seed,"€1,100,000",2015-04-29,Seed,"€1,100,000","Biotechnology, Health Care, Science and Engineering",Private
SwimCount,https://www.crunchbase.com/organization/motility-count,"Biotechnology, Health Diagnostics","Copenhagen, Hovedstaden, Denmark",Diagnostic company developing a home-test kit for male fertility (sperm quality),info@swimcount.com,45 25 46 25 80,https://www.swimcount.com,For Profit,2,Seed,"DKK3,500,000",2014-03-27,Seed,"DKK3,500,000","Biotechnology, Health Care, Science and Engineering",Private
Manchester Imaging,https://www.crunchbase.com/organization/manchester-imaging,Biotechnology,"Manchester, Manchester, United Kingdom",Manchester Imaging is a dental diagnostic software company that has developed software to automatically detect caries (decay).,tony.travers@manchester-imaging.com,+44 (0)7776 481645,http://manchester-imaging.com/,,1,Seed,"£600,000",2018-02-01,Seed,"£600,000","Biotechnology, Science and Engineering",Private
Proactive Life LLC,https://www.crunchbase.com/organization/proactive-life,"Biotechnology, Health Care, Life Science, Software","New York, New York, United States",Proactive Life is a software solutions company developing scientifically validated software that integrate with the best IoT devices,dan@sonicsleepcoach.com,,http://www.proactivelife.org,For Profit,1,Seed,"$200,000",2018-04-01,Seed,"$200,000","Biotechnology, Health Care, Science and Engineering, Software",Private
Amylon Therapeutics,https://www.crunchbase.com/organization/amylon-therapeutics,Biotechnology,"Leiden, Zuid-Holland, The Netherlands",Amylon Therapeutics is a biotechnology company that targets CNS disorders through an ultra-genetics approach.,info@amylontx.com,020-4044707,http://amylontx.com/,,1,Seed,"€625,000",2017-11-09,Seed,"€625,000","Biotechnology, Science and Engineering",Private
