Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Hygiena,https://www.crunchbase.com/organization/hygiena,"Biotechnology, Health Care, Life Science","Camarillo, California, United States","A Camarillo, Calif.-based environmental testing and sanitation company",,8053885531,http://www.hygiena.com/,For Profit,1,Private Equity,,2016-07-20,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
Onramp BioInformatics,https://www.crunchbase.com/organization/onramp-bioinformatics-inc-,"Analytics, Big Data, Bioinformatics, Biotechnology, Genetics, IT Management, Professional Services, Software","San Diego, California, United States","Our software, services and systems empower biotech companies, researchers & doctors to unlock genomic data insights",info@onrampcorp.com,1(855)766-7267,https://www.onramp.bio,For Profit,2,Private Equity,,2017-05-05,Convertible Note,,"Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",Private
Cytel Corporation,https://www.crunchbase.com/organization/cytel-corporation,"Biotechnology, Consulting, Health Care, Software","Cambridge, Massachusetts, United States","Our mission is to improve success rates in this endeavor via the optimal design, effective implementation",info@cytel.com,6176614405,http://www.cytel.com,,1,Private Equity,,2017-11-01,Private Equity,,"Biotechnology, Health Care, Science and Engineering, Software",Private
H1,https://www.crunchbase.com/organization/h1,"Biotechnology, Pharmaceutical, SaaS","New York, New York, United States",Solving data problems for healthcare and life science companies,,,https://h1insights.com/,For Profit,1,Private Equity,,2017-11-01,Private Equity,,"Biotechnology, Health Care, Science and Engineering, Software",Private
FMS Midwest Dialysis Centers,https://www.crunchbase.com/organization/fms-midwest-dialysis-centers,"Biotechnology, Health Care, Medical","Waltham, Massachusetts, United States","FMS Midwest Dialysis Centers is a biotech company based in the United States, networking kidney dialysis centers.",,,,,2,Private Equity,"$7,632,343",2011-11-21,Private Equity,"$10,523,411","Biotechnology, Health Care, Science and Engineering",Private
TERA Environnement,https://www.crunchbase.com/organization/tera-environnement,Biotechnology,"Crolles, Rhone-Alpes, France","TERA Environnement encouraging the performance of its customers in the High Technologies , Environment and Health sectors.",,,http://www.tera-environnement.com/,,1,Private Equity,"€1,400,000",2013-12-01,Private Equity,"€1,400,000","Biotechnology, Science and Engineering",Private
R-Biopharm AG,https://www.crunchbase.com/organization/r-biopharm-ag,"Biotechnology, Test and Measurement","Darmstadt, Hessen, Germany",R-Biopharm AG is a developer of test solutions for clinical diagnostics and food & feed analysis.,info@r-biopharm.de,+490615181020,http://www.r-biopharm.com/,For Profit,1,Private Equity,,2009-08-06,Private Equity,,"Biotechnology, Data and Analytics, Science and Engineering",Private
Aurora Diagnostics,https://www.crunchbase.com/organization/aurora-diagnostics,"Biotechnology, Health Care, Hospital","Palm Beach Gardens, Florida, United States","Aurora Diagnostics is a specialized laboratory company dedicated to providing unsurpassed diagnostic, prognostic, and therapeutic.",info@auroradx.com,15616264530,http://www.auroradx.com,,1,Private Equity,,2006-06-02,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
FlexGen,https://www.crunchbase.com/organization/flexgen,Biotechnology,"Leiden, Zuid-Holland, The Netherlands","FlexGen is an innovative biotech company based in Leiden, the Netherlands.",info@flexgen.nl,+31 7133222,http://www.flexgen.nl,,1,Private Equity,,2009-03-15,Private Equity,,"Biotechnology, Science and Engineering",Private
Custopharm,https://www.crunchbase.com/organization/custopharm,"Biotechnology, Health Care, Medical","Carlsbad, California, United States",CUSTOpharm is a customer-focused service company that provides personalized cost-effective chemistry and manufacturing controls,info@custopharm.com,760-683-0901,http://www.custopharm.com/,For Profit,1,Private Equity,,2015-02-03,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
CCBR-SYNARC,https://www.crunchbase.com/organization/ccbr-synarc,Biotechnology,"Newark, California, United States","CCBR-SYNARC’s medical image analysis, biochemical marker, and clinical research center services enable life-science industry clients to",,4158178964,http://www.synarc.com,,1,Private Equity,,2013-04-09,Private Equity,,"Biotechnology, Science and Engineering",Private
Pharmaceutic Litho & Label,https://www.crunchbase.com/organization/pharmaceutic-litho---label-company,Biotechnology,"Simi Valley, California, United States",A Pharmaceutical Printer & Pharmaceutical Label Company,,(805) 285-5162,http://www.pharmaceuticlitho.com/,For Profit,1,Private Equity,,2014-10-16,Private Equity,,"Biotechnology, Science and Engineering",Private
Ixchelsis,https://www.crunchbase.com/organization/ixchelsis,Biotechnology,"Sandwich, Kent, United Kingdom",Ixchelsis develops an oxytocin receptor antagonist for the treatment of premature ejaculation.,,,http://ixchelsis.com,,1,Private Equity,,2013-08-06,Private Equity,,"Biotechnology, Science and Engineering",Private
Bharat Biotech,https://www.crunchbase.com/organization/bharat-biotech,Biotechnology,"Hyderabad, Andhra Pradesh, India",India's second biggest vaccines company,media@bharatbiotech.com,+914023480567,http://www.bharatbiotech.com,For Profit,1,Private Equity,,2016-12-16,Private Equity,,"Biotechnology, Science and Engineering",Private
HistoGeneX ,https://www.crunchbase.com/organization/histogenex,"Biotechnology, Life Science, Pharmaceutical","Antwerp, Antwerpen, Belgium","HistoGeneX is provider of biomarker technologies for translational and clinical research and is a CAP, CLIA and BELAC-accredited laboratory.",,+32 3 218 10 80,https://www.histogenex.com/,,1,Private Equity,,2016-01-25,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
POINT Biomedical,https://www.crunchbase.com/organization/point-biomedical,"Biotechnology, Health Care, Medical","San Carlos, California, United States",Point Biomedical is a pharmaceutical company developing technologies for imaging and drug deliveries.,mkayan@pointbio.com,650-596-1400,http://www.pointbio.com,,4,Private Equity,"$25,000,000",2008-01-01,Private Equity,"$58,130,000","Biotechnology, Health Care, Science and Engineering",Private
Community Pharmacy,https://www.crunchbase.com/organization/community-pharmacy,Biotechnology,"Denton, Texas, United States","Community Pharmacy is a locally owned, full service pharmacy located in Denton, Texas. There pharmacy is truly unique in that they have",info@communitypharmacy.com,(940) 382-1618,http://communitypharmacy.com,For Profit,1,Private Equity,,2011-09-06,Private Equity,,"Biotechnology, Science and Engineering",Private
Gallus BioPharmaceuticals,https://www.crunchbase.com/organization/gallus-biopharmaceuticals,Biotechnology,"St Louis, Missouri, United States","Gallus Biopharmaceuticals, LLC, a contract manufacturer, supplies clinical and commercial bulk biologics to the biopharmaceutical industry",info@gallusbiopharma.com,314-426-5000,http://www.gallusbiopharma.com,,1,Private Equity,,2011-05-18,Private Equity,,"Biotechnology, Science and Engineering",Private
MindNet,https://www.crunchbase.com/organization/mind-exploration-technologies,"Artificial Intelligence, Biotechnology, Health Diagnostics, Pharmaceutical","Ljubljana, Ljubljana Urban Commune, Slovenia",We’re pushing the boundaries of neuroimaging. Inventing AI systems that will help us solve complex problems of neurodegenerative diseases.,contact@mind.co.com,,http://mind.co.com,For Profit,1,Private Equity,,2018-03-12,Private Equity,,"Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Eone Diagnomics Genome Center,https://www.crunchbase.com/organization/eone-diagnomics-genome-center,Biotechnology,"Incheon, Inch'on-jikhalsi, South Korea",It provides customized medical services based on next generation sequencing (NGS) technique and cutting-edge genome analysis.,info@edgc.com,82-32-713-2140,http://www.edgc.com/,,1,Private Equity,,2017-12-26,Private Equity,,"Biotechnology, Science and Engineering",Private
Circe Biomedical,https://www.crunchbase.com/organization/circe-biomedical,"Biotechnology, Health Care, Medical","Lexington, Massachusetts, United States",Circe Biomedical is a Biotechnology company.,,(617)863-8720,http://circebio.com,For Profit,1,Private Equity,"$28,000,000",2000-12-18,Private Equity,"$28,000,000","Biotechnology, Health Care, Science and Engineering",Private
Grassroots Group Holdings,https://www.crunchbase.com/organization/grassroots-group-holdings,"Biotechnology, Medical, Wellness","South Africa, Africa","Grassroots Group offers botanicals for cultivation, pharmaceutical, cosmetic, edible, and aromatic uses in South Africa.",,+270210200260,http://www.grassrootsgroup.co.za,For Profit,1,Private Equity,,2015-09-30,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
Rodenburg Biopolymers,https://www.crunchbase.com/organization/rodenburg-biopolymers,Biotechnology,"Oosterhout, Noord-Brabant, The Netherlands",Rodenburg’s activities started with trading of plant derived products for various industries in 1945.,info@biopolymers.nl,31 16 249 7030,http://www.biopolymers.nl/,,1,Private Equity,,2013-08-29,Private Equity,,"Biotechnology, Science and Engineering",Private
Genetic Technologies inc,https://www.crunchbase.com/organization/genetic-technologies-inc,"Biotechnology, Genetics","Glencoe, Missouri, United States","Genetic Technologies, a DNA forensic science company, evaluates forensic evidence as it relates to human identification.",info@genetictechnologies.com,636-451-4363,http://genetictechnologies.com,,1,Private Equity,,2013-08-27,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
SCM Lifescience,https://www.crunchbase.com/organization/scm-lifescience,"Biotechnology, Clinical Trials, Life Science","Incheon, Inch'on-jikhalsi, South Korea",They Will Do their Best for Treating Incurable Diseases and the Development of Regenerative Medicine.,,+82328813600,http://www.scmlifescience.com/,For Profit,1,Private Equity,,2015-03-13,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
StemPar Sciences,https://www.crunchbase.com/organization/stempar-sciences,Biotechnology,"Mill Valley, California, United States","StemPar is developing a pipeline of powerful, first-in-class cancer drugs that attack solid tumors by simultaneously disrupting their",barry@stempar.com,415-264-6223,http://stempar.com,,1,Private Equity,,2013-01-02,Private Equity,,"Biotechnology, Science and Engineering",Private
Kinetic Discovery Ltd.,https://www.crunchbase.com/organization/kinetic-discovery-ltd,Biotechnology,"Dundee, Dundee City, United Kingdom","Kinetic Discovery Ltd offers drug discovery services as hit identification, confirmation and validation.",contact@kineticdiscovery.com,,http://www.kineticdiscovery.com/,,1,Private Equity,,2016-06-30,Private Equity,,"Biotechnology, Science and Engineering",Private
Biocom Biotech,https://www.crunchbase.com/organization/biocom-biotech,"Biotechnology, Health Care","Centurion, NA - South Africa, South Africa",Biocom Biotech is a provider of highest products for diagnostic and research use.,support@biocombiotech.co.za,+27126442448,http://www.biocombiotech.com,For Profit,1,Private Equity,,2017-03-01,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
Inflamapls,https://www.crunchbase.com/organization/inflamapls,"Biotechnology, Medical, Pharmaceutical","Monthey, Valais, Switzerland","Inflamalps is a biopharmaceutical company established in Valais, Switzerland.",,,http://www.inflamalps.com,For Profit,1,Private Equity,,2015-07-01,Private Equity,,"Biotechnology, Health Care, Science and Engineering",Private
Tarsis Technology,https://www.crunchbase.com/organization/tarsis-technology,Biotechnology,"Cambridge, Cambridgeshire, United Kingdom",Tarsis Technology develop and commercialise biotechnology technology.,,,,For Profit,1,Private Equity,,2016-12-07,Private Equity,,"Biotechnology, Science and Engineering",Private
Affitech AS,https://www.crunchbase.com/organization/affitech,Biotechnology,"Copenhagen, Hovedstaden, Denmark",Affitech AS engages in the discovery and development of human antibody therapeutics. ,,45 39 17 82 59,http://www.affitech.com,,1,Private Equity,"$13,000,000",2006-04-09,Private Equity,"$13,000,000","Biotechnology, Science and Engineering",Private
GlycoBioChem,https://www.crunchbase.com/organization/glycobiochem,Biotechnology,"Dundee, Dundee City, United Kingdom",GlycoBioChem is focused on discovery and development of novel small-molecules for the purposes of research and treatment of human diseases.,sales@glycobiochem.com,+44 1382 386256,http://www.glycobiochem.com/,,1,Private Equity,,2016-06-30,Private Equity,,"Biotechnology, Science and Engineering",Private
Bostwick Laboratories,https://www.crunchbase.com/organization/bostwick-laboratories,Biotechnology,"Glen Allen, Virginia, United States",Bostwick Laboratories provides anatomic and clinical pathology laboratory services specializing in the monitoring and diagnosis of cancer.,,8042391954,http://www.bostwicklaboratories.com,,1,Private Equity,,2011-10-25,Private Equity,,"Biotechnology, Science and Engineering",Private
Control Delivery Systems,https://www.crunchbase.com/organization/control-delivery-systems,Biotechnology,,Control Delivery Systems is a Biotechnology company.,,,,,1,Private Equity,"$34,500,000",2000-08-22,Private Equity,"$34,500,000","Biotechnology, Science and Engineering",Private
Crioestaminal,https://www.crunchbase.com/organization/crioestaminal,Biotechnology,"Cantanhede, Coimbra, Portugal",Crioestaminal is a privately held biotechnology company that engages in preservation of stem cells to treat future ailments.,,351 23 141 0900,http://www.crioestaminal.pt/,,1,Private Equity,,2007-03-01,Private Equity,,"Biotechnology, Science and Engineering",Private
Biosidus S.A.,https://www.crunchbase.com/organization/biosidus-s-a,"Biotechnology, Manufacturing, Pharmaceutical","Buenos Aires, Distrito Federal, Argentina",Biosidus S.A is the largest manufacturer and distributor of biosimilar pharmaceuticals.,,+5411 4909 8000,http://www.biosidus.com.ar/,,1,Private Equity,,2018-06-07,Private Equity,,"Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
