Organization Name,Organization Name URL,Categories,Category Groups,Description,Website,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,IPO Status
Capio Biosciences,https://www.crunchbase.com/organization/capio-biosciences,Biotechnology,"Biotechnology, Science and Engineering",Capio Biosciences,http://www.capiobiosciences.com/,1,Early Stage Venture,"$2,900,000 ",1/5/17,Series A,"$2,900,000 ",Private
Genometry,https://www.crunchbase.com/organization/genometry,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering","Genometry commercializes a genome-wide, high-throughput, gene-expression profiling method for pharmaceutical discovery applications.",http://www.genometry.com,1,Early Stage Venture,"$3,000,000 ",9/21/12,Series A,"$3,000,000 ",Private
Garnet Biotherapeutics,https://www.crunchbase.com/organization/garnet-biotherapeutics,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Garnet BioTherapeutics is a cell therapy company specializing in dermal-based regenerative therapy.,http://www.garnetbio.com,1,Early Stage Venture,"$10,400,000 ",2/3/09,Series A,"$10,400,000 ",Private
XO1,https://www.crunchbase.com/organization/xo1,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",XO1 Ltd is a virtual biotechnology company formed specifically to develop ichorcumab.,http://www.xo1.co.uk/index.html,1,M&A,"$11,000,000 ",6/17/13,Series A,"$11,000,000 ",Private
TransThera Biosciences,https://www.crunchbase.com/organization/transthera-biosciences,Biotechnology,"Biotechnology, Science and Engineering",China-based biotech company,,1,Early Stage Venture,"$10,000,000 ",10/13/16,Series A,"$10,000,000 ",Private
Helix Therapeutics,https://www.crunchbase.com/organization/helix-therapeutics,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering",Helix Therapeutics developed DNA-based therapeutics for the treatment of HIV/AIDS and common genetic diseases.,http://helixtherapeutics.com,3,Early Stage Venture,"$2,500,000 ",11/23/10,Series A,"$3,362,500 ",Private
Annovation BioPharma,https://www.crunchbase.com/organization/annovation-biopharma,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering","Annovation BioPharma develops pharmaceutical products for anesthesia, sedation and sleep.",,3,M&A,"$8,000,000 ",9/10/12,Series A,"$10,375,000 ",Private
NMD Pharma,https://www.crunchbase.com/organization/nmd-pharma,"Biotechnology, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",NMD Pharma is a small molecule drug discovery company that develops novel treatments of neuromuscular disorders.,http://www.nmdpharma.com/,3,Early Stage Venture,"€38,000,000",3/23/18,Series A,"€41,030,000",Private
Invictus Medical,https://www.crunchbase.com/organization/invictus-medical,"Biotechnology, Children, Health Care","Biotechnology, Health Care, Science and Engineering",Invictus Medical is a developer and commercializer of cranial support technologies for newborns.,http://www.invictusmed.com,2,Early Stage Venture,"$3,800,000 ",12/16/14,Series A,"$4,280,000 ",Private
Lumi Shanghai,https://www.crunchbase.com/organization/shanghai-lumi-information-technology-limited-company,Biotechnology,"Biotechnology, Science and Engineering",Shanghai Lumi is dedicated to researching and developing its independently developed brand Lumi beauty and health series products.,http://www.lumilady.com,2,Early Stage Venture,,11/1/12,Series A,"$6,000,000 ",Private
Hubble Telemedical,https://www.crunchbase.com/organization/hubble-telemedical,"Biotechnology, Health Care, Hospital","Biotechnology, Health Care, Science and Engineering",The Hubble Real-Time Retinal Exam service makes retinal eye screening more accessible and convenient to the healthcare consumer.,http://hubbletelemedical.com,4,M&A,"$400,000 ",2/25/14,Series A,"$1,150,000 ",Private
TCD Pharma,https://www.crunchbase.com/organization/tcd-pharma,"Biotechnology, Medical","Biotechnology, Health Care, Science and Engineering","TCD Pharma is a biotechnology company engaged in the discovery, development and commercialization of oncology drugs.",http://www.tcdpharma.com,1,Early Stage Venture,"$8,940,000 ",3/17/10,Series A,"$8,940,000 ",Private
USDS,https://www.crunchbase.com/organization/usds,"Biotechnology, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",USDS is an independent review body that provides third-party certification and evaluation of diagnostics for the healthcare industry.,http://dxstandards.com,2,Early Stage Venture,"$4,578,466 ",4/30/13,Series A,"$6,108,466 ",Private
Inprenha,https://www.crunchbase.com/organization/inprenha,Biotechnology,"Biotechnology, Science and Engineering",Inprenha Biotechnology is a technology-based company and innovation to animal breeding sector.,http://www.inprenha.com.br/,1,Early Stage Venture,"R$5,000,000",10/28/14,Series A,"R$5,000,000",Private
Profex,https://www.crunchbase.com/organization/profex,"Biotechnology, Health Diagnostics, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Profex is an international dermatology company, distributing dermatological drugs to Chinese dermatologists, patients and consumers.",http://www.profex.com,1,Early Stage Venture,"$15,500,000 ",8/28/08,Series A,"$15,500,000 ",Private
AmnioLife,https://www.crunchbase.com/organization/amniolife,"Biotechnology, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",AmnioLife Corporation is a biotechnology company .,http://amniolife.com/,2,Early Stage Venture,"$689,000 ",1/6/16,Series A,"$1,522,000 ",Private
NuMe Health,https://www.crunchbase.com/organization/nume-health,Biotechnology,"Biotechnology, Science and Engineering",NuMe Health is a biotechnology company focused on medical foods for the special dietary requirements.,http://www.numehealth.com,2,Early Stage Venture,"$1,500,000 ",5/16/12,Series A,"$2,175,000 ",Private
Population Diagnostics,https://www.crunchbase.com/organization/population-diagnostics,"Biotechnology, Genetics, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Population Diagnostics is focused on the research of human genetics to develop DNA-based diagnostics and personalized medicine tests.,http://populationdiagnostics.com,1,Early Stage Venture,"$5,360,344 ",8/29/11,Series A,"$5,360,344 ",Private
Biowater Technology,https://www.crunchbase.com/organization/biowater-technology,Biotechnology,"Biotechnology, Science and Engineering",Biowater Technology develops biological wastewater treatment processes and equipment for municipal and industrial facilities.,http://biowatertechnology.com,1,Early Stage Venture,"€5,000,000",7/1/13,Series A,"€5,000,000",Private
KinderPharm,https://www.crunchbase.com/organization/kinderpharm,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",KinderPharm is a specialty pediatric CRO with expert resources focused exclusively on pediatric drug development.,http://www.kinderpharm.com/,1,Early Stage Venture,"$1,000,000 ",8/13/15,Series A,"$1,000,000 ",Private
APEPTICO Forschung und Entwicklung,https://www.crunchbase.com/organization/apeptico-forschung-und-entwicklung,Biotechnology,"Biotechnology, Science and Engineering",APEPTICO is a biotech company developing new peptide-based medicinal drugs for the treatment of severe and chronic diseases.,http://www.apeptico.com,1,Early Stage Venture,"$3,950,000 ",8/5/10,Series A,"$3,950,000 ",Private
AmVac,https://www.crunchbase.com/organization/amvac,Biotechnology,"Biotechnology, Science and Engineering",AmVac AG is a biopharmaceutical company focusing on the development and commercialization of immune therapies and prophylactic vaccines.,http://www.amvac.eu,1,Early Stage Venture,"$2,800,000 ",2/11/10,Series A,"$2,800,000 ",Private
Genotyping,https://www.crunchbase.com/organization/genotyping,"Biotechnology, Genetics, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Genotyping brings precision medicine to you through genetic diagnosis using next-generation sequencing technology.,http://genotypingsaude.com.br/,1,Early Stage Venture,"R$4,000,000",9/3/15,Series A,"R$4,000,000",Private
gIcare Pharma,https://www.crunchbase.com/organization/gicare-pharma,Biotechnology,"Biotechnology, Science and Engineering",gIcare Pharma is a Canada-based company that develops novel gastrointestinal drugs for unmet medical needs.,http://gicarepharma.com,1,Early Stage Venture,"CA$7,000,000",7/21/11,Series A,"CA$7,000,000",Private
BioLeap,https://www.crunchbase.com/organization/bioleap,Biotechnology,"Biotechnology, Science and Engineering",BioLeap offers a proprietary technology platform to identify and optimize lead compounds to discover novel drugs.,http://www.bioleap.com,1,Early Stage Venture,"$5,000,000 ",1/12/10,Series A,"$5,000,000 ",Private
Curevax,https://www.crunchbase.com/organization/curevax,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Dedicated to the fight against melanoma through the development of safer and more effective immunotherapeutic vaccines.,http://www.curevax.com/,5,Early Stage Venture,"$4,750,000 ",9/25/16,Series A,"$9,870,000 ",Private
PharmAbcine,https://www.crunchbase.com/organization/pharmabcine,Biotechnology,"Biotechnology, Science and Engineering",PharmAbcine develops fully human therapeutic monoclonal antibodies for the treatment of cancer and inflammatory diseases.,http://www.pharmabcine.com,1,Early Stage Venture,"$6,000,000 ",9/16/09,Series A,"$6,000,000 ",Private
Algiax Pharmaceuticals,https://www.crunchbase.com/organization/algiax-pharmaceuticals,Biotechnology,"Biotechnology, Science and Engineering",Algiax Pharmaceuticals develops products for nervous system disease or dysfunction with a strong focus on neuropathic pain.,http://www.algiax.com,1,Early Stage Venture,"€4,300,000",5/16/12,Series A,"€4,300,000",Private
Phthisis Diagnostics,https://www.crunchbase.com/organization/phthisis-diagnostics,"Biotechnology, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",Phthisis Diagnostics is a molecular diagnostics company developing products for various infectious diseases.,http://phthisisdiagnostics.com,3,M&A,"$450,000 ",6/29/12,Series A,"$1,170,000 ",Private
CT Atlantic,https://www.crunchbase.com/organization/ct-atlantic,"Apps, Biotechnology","Apps, Biotechnology, Science and Engineering, Software","CT Atlantic AG is a swiss biotech company researches and develops novel, human-derived antibodies for the treatment of cancer.",http://ct-atlantic.com,1,Early Stage Venture,"$8,970,000 ",1/12/09,Series A,"$8,970,000 ",Private
Omni Hospitals,https://www.crunchbase.com/organization/omni-hospitals,Biotechnology,"Biotechnology, Science and Engineering","Omni Hospitals provides health care services such as cardiology, nephrology, orthopedics and pediatrics.",http://omnihospitals.in,1,Early Stage Venture,"$9,800,000 ",8/7/13,Series A,"$9,800,000 ",Private
BliNK Biomedical,https://www.crunchbase.com/organization/blink-biomedical,"Biotechnology, Life Science, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",BliNK Biomedical is specializes in the discovery and development of first or best-in-class antibody-based therapeutics.,http://www.blinkbiomedical.com/,2,Early Stage Venture,"€1,650,000",7/12/16,Series A,"€5,650,000",Private
Sentien Biotechnologies,https://www.crunchbase.com/organization/sentien-biotechnologies,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","A Cambridge, MA and Lexington, MA based regenerative medicine company developing cell based therapies for critical care diseases",http://www.sentienbiotech.com/,1,Early Stage Venture,"$12,000,000 ",4/4/17,Series A,"$12,000,000 ",Private
CN Creative,https://www.crunchbase.com/organization/cn-creative,Biotechnology,"Biotechnology, Science and Engineering",CN Creative provides innovative solutions for global problems arising from smoking and smoking-related illnesses.,http://www.cncbio.co.uk,1,M&A,"£2,000,000",1/26/12,Series A,"£2,000,000",Private
ConoGenetix biosciences,https://www.crunchbase.com/organization/conogenetix-biosciences,Biotechnology,"Biotechnology, Science and Engineering",ConoGenetix biosciences is a biotechnology company that focuses on the development of peptide-based drugs.,http://www.conogenetix.de/,1,Early Stage Venture,"€1,500,000",4/23/12,Series A,"€1,500,000",Private
ProCertus BioPharm,https://www.crunchbase.com/organization/procertus-biopharm,Biotechnology,"Biotechnology, Science and Engineering",ProCertus BioPharm develops therapeutics to protect cancer patients from the side effects of radiotherapy and chemotherapy.,http://www.procertus.com,2,Early Stage Venture,"$1,700,000 ",4/5/11,Series A,"$4,000,000 ",Private
EcoPesticides,https://www.crunchbase.com/organization/ecopesticides,"Biotechnology, CleanTech, Natural Resources","Biotechnology, Natural Resources, Science and Engineering, Sustainability",EcoPesticides International is a New Mexico Startup Factory company,http://ecopesticides.net/,1,Early Stage Venture,"$400,000 ",1/20/15,Series A,"$400,000 ",Private
Novocor Medical Systems,https://www.crunchbase.com/organization/novocor-medical-systems,Biotechnology,"Biotechnology, Science and Engineering",Novocor Medical Systems develops medical devices and solutions that help Emergency Medical Service first responders.,http://novocormed.com,1,Early Stage Venture,"$961,000 ",8/30/13,Series A,"$961,000 ",Private
Sitari Pharmaceuticals,https://www.crunchbase.com/organization/sitari-pharmaceuticals,Biotechnology,"Biotechnology, Science and Engineering",Sitari Pharmaceuticals is a biotechnology company developing treatments for multiple disease indications.,http://www.coipharma.com,1,Early Stage Venture,"$10,000,000 ",11/22/13,Series A,"$10,000,000 ",Private
Aggredyne,https://www.crunchbase.com/organization/aggredyne,Biotechnology,"Biotechnology, Science and Engineering",Aggredyne is a biomedical company developing diagnostic devices for platelet therapy.,http://www.aggredyne.com,1,Early Stage Venture,"$3,000,000 ",4/23/12,Series A,"$3,000,000 ",Private
Tolven Inc.,https://www.crunchbase.com/organization/tolven-inc,"Biotechnology, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering","Tolven was founded in February 2006, and is focused on the design, development, and delivery of a unique open source solution for the",http://home.tolvenhealth.com,1,Early Stage Venture,"$3,614,333 ",11/22/10,Series A,"$3,614,333 ",Private
Quantum OPS,https://www.crunchbase.com/organization/quantum-ops,"Biotechnology, Manufacturing, Medical Device","Biotechnology, Health Care, Manufacturing, Science and Engineering","Quantum OPS an orthopedic tech company, develops products enabling clinicians to immobilize, stabilize, and position patients for surgery.",http://www.quantumops.com,2,Early Stage Venture,"$1,050,000 ",6/28/12,Series A,"$1,100,000 ",Private
Kalion,https://www.crunchbase.com/organization/kalion,Biotechnology,"Biotechnology, Science and Engineering",Kalion is an early stage industrial biotech company that will transform the traditional chemical industry by providing low-cost access to,,3,Early Stage Venture,"$350,000 ",3/10/17,Series A,"$1,000,000 ",Private
Crysalin,https://www.crunchbase.com/organization/crysalin,Biotechnology,"Biotechnology, Science and Engineering",Crysalin is engaged in the research and development of crysalin lattice technologies.,http://www.crysalin.com,1,Early Stage Venture,"$2,400,000 ",1/5/11,Series A,"$2,400,000 ",Private
Glionova ,https://www.crunchbase.com/organization/glionova,Biotechnology,"Biotechnology, Science and Engineering",Glionova is a privately held biopharmaceutical company focused on developing new therapies for cancer. ,http://www.glionova.com/,1,Early Stage Venture,"$5,700,000 ",12/9/14,Series A,"$5,700,000 ",Private
Mars Bioimaging,https://www.crunchbase.com/organization/mars-bioimaging,Biotechnology,"Biotechnology, Science and Engineering",Mars Bioimaging Ltd (MBI) was formed in 2007 to commercialise the ground-breaking MARS imaging system for its applications in medical,http://www.marsbioimaging.com,1,Early Stage Venture,"$500,000 ",2/24/14,Series A,"$500,000 ",Private
TargAnox,https://www.crunchbase.com/organization/targanox,Biotechnology,"Biotechnology, Science and Engineering",TargAnox develops drugs that help treat oncology and metabolic related inllnesses.,http://targanox.com/,1,Early Stage Venture,"$5,100,000 ",3/14/09,Series A,"$5,100,000 ",Private
Clyde Biosciences,https://www.crunchbase.com/organization/clyde-biosciences,Biotechnology,"Biotechnology, Science and Engineering",Improving success in drug discovery,http://www.clydebiosciences.com/,1,Early Stage Venture,"£2,000,000",4/13/15,Series A,"£2,000,000",Private
WP Rocket Holdings,https://www.crunchbase.com/organization/wp-rocket-holdings,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering","WP Rocket Holdings is a biotech company based in New York, United States.",,1,Early Stage Venture,"$25,480,000 ",8/30/11,Series A,"$25,480,000 ",Private
SynapCell,https://www.crunchbase.com/organization/synapcell,Biotechnology,"Biotechnology, Science and Engineering","SynapCell is a preclinical contract research organization, providing solutions for the therapeutic potential of CNS candidates in epilepsy.",http://www.synapcell.fr,1,Early Stage Venture,"$4,430,000 ",3/6/09,Series A,"$4,430,000 ",Private
IROA Technologies LLC,https://www.crunchbase.com/organization/iroa-technologies,"Biotechnology, Chemical, Health Diagnostics, Life Science","Biotechnology, Health Care, Science and Engineering",IROA Technologies employs carbon isotopes to identify and analyze chemical signatures in biological compounds.,http://www.iroatech.com,2,Early Stage Venture,"$1,000,000 ",5/3/13,Series A,"$1,700,000 ",Private
ProtAb,https://www.crunchbase.com/organization/protab,Biotechnology,"Biotechnology, Science and Engineering","ProtAb develops Proximab, a monoclonal antibody for the treatment of rheumatoid arthritis and other autoimmune diseases such as diabetes.",,1,Early Stage Venture,"$4,000,000 ",4/23/10,Series A,"$4,000,000 ",Private
Drik,https://www.crunchbase.com/organization/drik,"Biotechnology, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Drik provides toxicology services that help pharmaceutical companies identify toxicology requirements in developing new drugs.,http://www.atdrik.com,1,Early Stage Venture,"$500,000 ",8/12/13,Series A,"$500,000 ",Private
Oxford Drug Design,https://www.crunchbase.com/organization/inhibox,Biotechnology,"Biotechnology, Science and Engineering",Oxford Drug Design focuses on developing and delivering services and technologies in computer-aided drug discovery.,http://www.oxforddrugdesign.com/,2,Early Stage Venture,"£1,000,000",4/1/17,Series A,"$3,144,399 ",Private
Zytoprotec,https://www.crunchbase.com/organization/zytoprotec,Biotechnology,"Biotechnology, Science and Engineering",Zytoprotec is an Austrian biotechnology company developing new treatment options for major disease areas.,http://www.zytoprotec.com,1,Early Stage Venture,"€2,000,000",1/29/13,Series A,"€2,000,000",Private
Histide,https://www.crunchbase.com/organization/histide,"Biotechnology, Medical, Therapeutics","Biotechnology, Health Care, Science and Engineering",Histide is a biotech intellectual property platform.,http://histide.com,1,Early Stage Venture,"$4,600,000 ",11/10/14,Series A,"$4,600,000 ",Private
CureMetrix,https://www.crunchbase.com/organization/curemetrix,"Analytics, Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device, Women's","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",CureMetrix offers a next generation of medical image analysis for Mammography.,http://curemetrix.com/,3,Early Stage Venture,,1/1/17,Series A,,Private
Lumavita,https://www.crunchbase.com/organization/lumavita,"Biotechnology, Health Care, Women's","Biotechnology, Health Care, Science and Engineering",Lumavita is a biopharmaceutical company developing and commercialising of novel anti-infectives for women's health.,http://www.lesgaga.com/,2,Early Stage Venture,"$5,500,000 ",6/24/09,Series A,"$21,743,405 ",Private
LC-Bio,https://www.crunchbase.com/organization/lc-bio,Biotechnology,"Biotechnology, Science and Engineering","LC-Bio provides gene sequencing services for universities, research institutions and hospitals based in Hangzhou.",,1,Early Stage Venture,"$9,600,000 ",10/11/17,Series A,"$9,600,000 ",Private
Orthobond,https://www.crunchbase.com/organization/orthobond,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Orthobond is a biotechnology company that is focused on improving the performance and safety of implantable medical devices.,http://orthobond.com,1,Early Stage Venture,"$2,147,092 ",10/21/11,Series A,"$2,147,092 ",Private
Cardoz,https://www.crunchbase.com/organization/cardoz,"Biotechnology, Manufacturing, Pharmaceutical","Biotechnology, Health Care, Manufacturing, Science and Engineering","Cardoz AB, based in Stockholm, Sweden, manufactures anti-inflammatory pharmaceuticals to combat heart and vascular disorders.",,1,Early Stage Venture,"SEK124,000,000",9/16/10,Series A,"SEK124,000,000",Private
Imeve,https://www.crunchbase.com/organization/imeve,"Biotechnology, Health Care, Veterinary","Biotechnology, Health Care, Science and Engineering",Imeve Health and Biotechnology in Animal Nutrition.,http://www.imeve.com.br/,1,Early Stage Venture,"R$2,500,000",4/1/11,Series A,"R$2,500,000",Private
Trino Therapeutics,https://www.crunchbase.com/organization/trino-therapeutics,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",Trino is a drug company focused on developing anti-inflammatory drug candidates derived from a Taiwanese fern.,http://trinotherapeutics.com,1,Early Stage Venture,"€9,000,000",5/28/13,Series A,"€9,000,000",Private
Ningbo Renjian Pharmaceutical,https://www.crunchbase.com/organization/ningbo-renjian-pharmaceutical,"Biotechnology, Medical","Biotechnology, Health Care, Science and Engineering","Ningbo Renjian Pharmaceutical is a biochemical company that focuses on biochemical, synthetic chemical, and bioengineering domains.",http://www.rjpharm.com/en/index.asp,1,Early Stage Venture,"$9,400,000 ",9/28/11,Series A,"$9,400,000 ",Private
TransCorp,https://www.crunchbase.com/organization/transcorp,"Biotechnology, Intrusion Detection, Medical Device","Biotechnology, Health Care, Information Technology, Privacy and Security, Science and Engineering",TransCorp is a medical device company developing and commercializing surgical instruments and implants.,http://transcorpspine.com/,1,Early Stage Venture,"$755,000 ",5/12/11,Series A,"$755,000 ",Private
Akmey Biotecnologia Têxtil,https://www.crunchbase.com/organization/akmey-biotecnologia-textil,"Biotechnology, Textiles","Biotechnology, Manufacturing, Science and Engineering",Enzymes solutions for textile process,http://www.akmey.com.br,1,Early Stage Venture,"R$3,500,000",10/19/15,Series A,"R$3,500,000",Private
DxUpClose,https://www.crunchbase.com/organization/dxupclose,Biotechnology,"Biotechnology, Science and Engineering",DxUpClose develops a point-of-care bacterial diagnostic that performs an antibiotic sensitivity test in 60 minutes.,http://www.dxupclose.com,2,Early Stage Venture,"$1,000,000 ",8/15/12,Series A,"$1,000,000 ",Private
Arrien Pharmaceuticals,https://www.crunchbase.com/organization/arrien-pharmaceuticals,Biotechnology,"Biotechnology, Science and Engineering",Arrien Pharmaceuticals is a small molecule-targeted therapeutics drug discovery and development company targeting cell signaling pathways.,http://www.arrienpharma.com,1,Early Stage Venture,"$2,000,000 ",9/13/11,Series A,"$2,000,000 ",Private
Orega Biotech,https://www.crunchbase.com/organization/orega-biotech,Biotechnology,"Biotechnology, Science and Engineering",BIO-TECH OREGA is a biotech company committed to the development of immunotherapeutics for the treatment of cancer.,http://orega-biotech.com,1,Early Stage Venture,"$3,710,000 ",11/22/10,Series A,"$3,710,000 ",Private
Rentschler Biotechnologie,https://www.crunchbase.com/organization/rentschler-biotechnologie,"Biopharma, Biotechnology, Manufacturing","Biotechnology, Health Care, Manufacturing, Science and Engineering",Rentschler Biotechnologie GmbH is a global full-service contract manufacturer with more than 35 years of experience.,https://www.rentschler.de/,1,Early Stage Venture,"$1,600,000 ",5/18/16,Series A,"$1,600,000 ",Private
FF Pharma,https://www.crunchbase.com/organization/ff-pharma,"Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",FF Pharma is developing an anti-CD40 monoclonal antibody therapy for the treatment of chronic inflammatory diseases.,http://ffpharma.com/,1,Early Stage Venture,"€4,000,000",1/23/13,Series A,"€4,000,000",Private
Amedrix,https://www.crunchbase.com/organization/amedrix,Biotechnology,"Biotechnology, Science and Engineering",Amedrix develops solutions based on native collagen medical devices for the regeneration of soft tissue defects.,http://www.amedrix.de,2,Early Stage Venture,,1/1/11,Series A,"€700,000",Private
Bar Harbor BioTechnology,https://www.crunchbase.com/organization/bar-harbor-biotechnology,"Biotechnology, Medical Device, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Bar Harbor BioTechnology develops molecular biology products and services for life science research and clinical medicine.,http://www.bhbio.com,4,Early Stage Venture,"$180,000 ",3/20/15,Series A,"$2,104,000 ",Private
Acerta Pharma,https://www.crunchbase.com/organization/acerta-pharma,Biotechnology,"Biotechnology, Science and Engineering",Personalized Medicine,http://www.acerta-pharma.com,2,M&A,,3/14/13,Series A,,Private
Telsar Pharma,https://www.crunchbase.com/organization/telsar-pharma,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Telsar Pharma develops Astellas drugs for common inflammatory bowel diseases.,,1,Early Stage Venture,"$14,000,000 ",4/24/12,Series A,"$14,000,000 ",Private
Gema,https://www.crunchbase.com/organization/gema,"Biotechnology, Health Care, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",Gema Diagnostics is a molecular diagnostics company.,http://gemadx.com,2,Early Stage Venture,"$625,000 ",4/8/13,Series A,"$3,290,127 ",Private
Concentric Medical,https://www.crunchbase.com/organization/concentric-medical,"Biotechnology, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",Concentric Medical is a medical technology company.,http://www.concentric-medical.com,1,M&A,,10/12/12,Series A,,Private
TransBiodiesel,https://www.crunchbase.com/organization/transbiodiesel,"Biotechnology, Chemical, Oil and Gas","Biotechnology, Energy, Natural Resources, Science and Engineering",TransBiodiesel is a start-up company focused on developing biocatalyst substitutes used for the production of biodiesel fuels.,http://www.transbiodiesel.com,1,Early Stage Venture,"$1,500,000 ",10/13/08,Series A,"$1,500,000 ",Private
Algenetix,https://www.crunchbase.com/organization/algenetix,Biotechnology,"Biotechnology, Science and Engineering",Algenetix is an industrial biotech company employing PhotoSeed technologies to develop single cell petrochemical alternatives.,http://www.algenetix.com,1,M&A,"$2,000,000 ",4/2/13,Series A,"$2,000,000 ",Private
Neuron Systems,https://www.crunchbase.com/organization/neuron-systems,Biotechnology,"Biotechnology, Science and Engineering",Neuron Systems is a mass-based drug developer for the treatment of retinal diseases.,http://www.neuron.ee,1,Early Stage Venture,"$8,960,000 ",8/8/08,Series A,"$8,960,000 ",Private
Bionanoplus,https://www.crunchbase.com/organization/bionanoplus,"Biotechnology, Health Care, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Bionanoplus focuses on the development of polymeric nanoparticles and microparticles as controlled release drug delivery systems.,http://www.bionanoplus.com,1,Early Stage Venture,"€600,000",2/19/11,Series A,"€600,000",Private
Microfluidic Innovations,https://www.crunchbase.com/organization/microfluidic-innovations,"Biotechnology, Information Technology, Medical Device","Biotechnology, Health Care, Information Technology, Science and Engineering","Microfluidic Innovations engages in the design, development, and production of programmable lab-on-a-chip systems.",http://www.microfluidicinnovations.com/,1,Early Stage Venture,"$75,000 ",3/13/13,Series A,"$75,000 ",Private
BR3,https://www.crunchbase.com/organization/br3,"Biometrics, Biotechnology, Innovation Management","Biotechnology, Data and Analytics, Science and Engineering","BR3 develops technologies in chemistry and biotechnology. To innovate, produce, and disseminate technologies.",http://www.br3.ind.br/,1,Early Stage Venture,"R$1,000,000",8/1/09,Series A,"R$1,000,000",Private
transOMIC,https://www.crunchbase.com/organization/transomic,"Biotechnology, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","transOMIC is a biotechnology startup that provides cDNA, ORF, shRNA, and CRISPR reagents to the research society.",http://transomic.com,2,Early Stage Venture,,4/22/15,Series A,"$20,000 ",Private
BlueWillow Biologics ,https://www.crunchbase.com/organization/nanobio,"Biotechnology, Medical, Nanotechnology","Biotechnology, Health Care, Science and Engineering",BlueWillow Biologics is a privately-held biopharmaceutical company .,http://www.bluewillow.com/,8,Early Stage Venture,"$10,000,000 ",5/7/18,Series A,"$92,800,000 ",Private
OncoSynergy,https://www.crunchbase.com/organization/oncosynergy,"Biotechnology, Health Care, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",OncoSynergy improve outcomes for patients with unmet need in oncology with Resistance Mechanism Inhibitors (RMIs).,http://www.oncosynergy.com/,1,M&A,,5/4/18,Series A,,Private
Morvus Technology,https://www.crunchbase.com/organization/morvus-technology,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering","Morvus Technology engages in the discovery, development, and commercialization of drugs and technologies in the oncology field.",http://www.morvus.com,1,Early Stage Venture,"$3,300,000 ",2/11/10,Series A,"$3,300,000 ",Private
BioSculpture Technology,https://www.crunchbase.com/organization/biosculpture-technology,"Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering",Unleashing the Artist in the Surgeon®,http://www.biosculpturetechnology.com/,1,Early Stage Venture,"$449,300 ",8/26/13,Series A,"$449,300 ",Private
Imaxio,https://www.crunchbase.com/organization/imaxio,Biotechnology,"Biotechnology, Science and Engineering",Imaxio is a France-based biopharmaceutical company specialized in vaccines and genomics.,http://www.imaxio.com,1,Early Stage Venture,"€2,900,000",4/17/12,Series A,"€2,900,000",Private
Coridon,https://www.crunchbase.com/organization/coridon,Biotechnology,"Biotechnology, Science and Engineering","Coridon develops DNA therapies for the prevention and treatment of viral infections, and therapeutic vaccines for the treatment of cancer.",http://www.coridon.com,1,Early Stage Venture,"$3,000,000 ",7/19/10,Series A,"$3,000,000 ",Private
